THREADS	TIME
1	0.00220082
2	0.0013901
3	0.00126242
4	0.00123742
5	0.00160978
6	0.00153577
7	0.00179513
8	0.0019398
9	0.00206348
10	0.00259018
11	0.00203614
12	0.00261285
13	0.00250851
14	0.00392727
15	0.00371559
16	0.00401095
17	0.00411729
18	0.00468266
19	0.004779
20	0.00524803
21	0.00541438
22	0.0057734
23	0.00624877
24	0.00622443
25	0.00647612
26	0.00659213
27	0.00703282
28	0.00739118
29	0.00748119
30	0.00778621
31	0.0080959
32	0.00862227
33	0.00883562
34	0.00872628
35	0.00894896
36	0.00923031
37	0.00989436
38	0.00996869
39	0.010177
40	0.0104694
41	0.0105951
42	0.0109904
43	0.0110108
44	0.0111948
45	0.0117508
46	0.0119672
47	0.0128286
48	0.0125539
49	0.0133129
50	0.0134609
51	0.0129776
52	0.0139343
53	0.0137983
54	0.0140783
55	0.0142437
56	0.0150517
57	0.01475
58	0.0150987
59	0.0152961
60	0.0155097
61	0.0157244
62	0.0162581
63	0.0163905
64	0.0169372
65	0.0167392
66	0.0171109
67	0.0172705
68	0.0179126
69	0.0177339
70	0.0182146
71	0.018531
72	0.0183719
73	0.0188413
74	0.019112
75	0.0195847
76	0.0198591
77	0.0193253
78	0.0201817
79	0.0202071
80	0.0208275
81	0.0208111
82	0.0204691
83	0.0212355
84	0.0218379
85	0.0218665
86	0.0223956
87	0.0223769
88	0.0227906
89	0.0230563
90	0.0231523
91	0.024381
92	0.0247937
93	0.0250651
94	0.0241217
95	0.0237303
96	0.0238063
97	0.0248294
98	0.0271999
99	0.023424
100	0.0256288
