FORKS	TIME
1	0.0590503
2	0.059666
3	0.0590824
4	0.0618142
5	0.0608881
6	0.0606876
7	0.0609151
8	0.0595117
9	0.0548917
10	0.0542865
11	0.058804
12	0.0567734
13	0.0535302
14	0.0553164
15	0.0569117
16	0.0558974
17	0.0550752
18	0.0570714
19	0.0585424
20	0.0585691
21	0.0601636
22	0.0560763
23	0.0582305
24	0.052929
25	0.0566829
26	0.0580959
27	0.0587121
28	0.0561985
29	0.0570644
30	0.0592435
31	0.076105
32	0.0966386
33	0.0901196
34	0.0773731
35	0.0738506
36	0.063397
37	0.0634263
38	0.0746353
39	0.0735184
40	0.221548
41	0.195295
42	0.108899
43	0.0650979
44	0.187675
45	0.285076
46	0.0643272
47	0.0609146
48	0.0702377
49	0.0729648
50	0.110558
51	0.0783823
52	0.0613765
53	0.0602771
54	0.0636303
55	0.0609226
56	0.061535
57	0.0600728
58	0.0611027
59	0.0603992
60	0.0619009
61	0.141366
62	0.0645345
63	0.0625793
64	0.0527158
65	0.0560156
66	0.0578176
67	0.0511776
68	0.053006
69	0.0484701
70	0.0539928
71	0.063777
72	0.057578
73	0.0591051
74	0.055518
75	0.0531855
76	0.0504141
77	0.0497756
78	0.0518467
79	0.0555593
80	0.0585324
81	0.0558311
82	0.0505276
83	0.0517777
84	0.0513391
85	0.0529052
86	0.0547292
87	0.0539936
88	0.0525777
89	0.053068
90	0.0535765
91	0.0516716
92	0.0549765
93	0.058513
94	0.0538775
95	0.0509545
96	0.0541365
97	0.0551516
98	0.0545365
99	0.0609017
