FORKS	TIME
1	1.54019
2	1.53652
3	1.51658
4	1.53265
5	1.54617
6	1.51963
7	1.68276
8	1.68109
9	1.63315
10	1.60719
11	1.5161
12	1.58078
13	1.59389
14	1.61933
15	1.57588
16	1.5727
17	1.68325
18	1.54015
19	1.54398
20	1.52556
21	1.51847
22	1.69834
23	1.6071
24	1.60528
25	1.66183
26	1.52811
27	1.57329
28	1.60232
29	1.53317
30	1.54008
31	1.52598
32	1.53687
33	1.52272
34	1.51501
35	1.53347
36	1.64834
37	1.59032
38	1.64669
39	1.62827
40	1.84203
41	1.63889
42	1.69049
43	1.69466
44	1.64974
45	1.76868
46	1.72995
47	1.67338
48	1.78333
49	1.69862
50	1.69619
51	1.78013
52	1.6763
53	1.68203
54	1.62144
55	1.67202
56	1.62296
57	1.562
58	1.59421
59	1.56601
60	1.56503
61	1.51817
62	1.60994
63	1.62635
64	1.59119
65	1.62233
66	1.64234
67	1.64868
68	1.53854
69	1.53401
70	1.51631
71	1.52141
72	1.59356
73	1.61009
74	1.58611
75	1.57877
76	1.59299
77	1.55917
78	1.54964
79	1.68738
80	1.59551
81	1.56502
82	1.60062
83	1.57076
84	1.59789
85	1.63826
86	1.6137
87	1.53908
88	1.64073
89	1.55939
90	1.5944
91	1.5403
92	1.5293
93	1.60973
94	1.59864
95	1.62467
96	1.63741
97	1.62608
98	1.60605
99	1.61749
