THREADS	TIME
1	0.0237138
2	0.0205672
3	0.0267706
4	0.0181219
5	0.0184561
6	0.0192919
7	0.0198244
8	0.0160404
9	0.0168829
10	0.015027
11	0.0159225
12	0.0416256
13	0.0274018
14	0.0168291
15	0.015491
16	0.0205348
17	0.0204228
18	0.0161795
19	0.0132678
20	0.0145191
21	0.0128898
22	0.0120276
23	0.0167687
24	0.0131167
25	0.0117911
26	0.0126225
27	0.0123449
28	0.0168173
29	0.0304242
30	0.021557
31	0.0174353
32	0.0173073
33	0.0147453
34	0.0125628
35	0.012868
36	0.0136806
37	0.0128527
38	0.0127559
39	0.0114952
40	0.0203955
41	0.0117882
42	0.0125174
43	0.0116583
44	0.0179621
45	0.0118325
46	0.0116451
47	0.0122961
48	0.0145905
49	0.0116692
50	0.0144137
51	0.0122999
52	0.0119073
53	0.0137691
54	0.0118569
55	0.0132324
56	0.0182752
57	0.0190539
58	0.0110772
59	0.0133991
60	0.0123534
61	0.011252
62	0.0151526
63	0.0121788
64	0.0122975
65	0.0130314
66	0.0128415
67	0.0112425
68	0.0132461
69	0.0115884
70	0.0224766
71	0.0139634
72	0.0114247
73	0.0249684
74	0.0138789
75	0.0137183
76	0.0140291
77	0.0127878
78	0.0123527
79	0.0136314
80	0.011951
81	0.0117775
82	0.0128176
83	0.0128125
84	0.0119627
85	0.011584
86	0.0132237
87	0.0130175
88	0.0143602
89	0.0157493
90	0.0138087
91	0.0135962
92	0.0144895
93	0.0119331
94	0.0122054
95	0.0121988
96	0.0118521
97	0.0147877
98	0.0124851
99	0.0112654
