THREADS	TIME
1	0.108247
2	0.0628738
3	0.0214201
4	0.031671
5	0.0297235
6	0.0207834
7	0.037029
8	0.0296749
9	0.0235517
10	0.017254
11	0.0248555
12	0.034243
13	0.0185412
14	0.0291493
15	0.0414949
16	0.0348116
17	0.0195297
18	0.0296674
19	0.0255934
20	0.0290816
21	0.0317605
22	0.0330303
23	0.0279839
24	0.0201811
25	0.0313783
26	0.0192822
27	0.029346
28	0.0282155
29	0.0234416
30	0.0288794
31	0.0263474
32	0.0181776
33	0.025314
34	0.0215986
35	0.0239477
36	0.0370238
37	0.0310228
38	0.023535
39	0.0247145
40	0.0313233
41	0.0209236
42	0.0257338
43	0.0224017
44	0.031462
45	0.0285405
46	0.0256718
47	0.0322895
48	0.0302943
49	0.0370221
50	0.021776
51	0.0349078
52	0.0264162
53	0.0310334
54	0.0242672
55	0.0206379
56	0.0265451
57	0.017241
58	0.0250018
59	0.0277656
60	0.0243094
61	0.0249162
62	0.0216952
63	0.0291698
64	0.0221001
65	0.0178356
66	0.0230094
67	0.0202744
68	0.0310415
69	0.0344859
70	0.0297468
71	0.0253456
72	0.0350274
73	0.0367499
74	0.0222291
75	0.0231279
76	0.0360672
77	0.024343
78	0.0231223
79	0.0523041
80	0.0289649
81	0.0342936
82	0.0344278
83	0.0266321
84	0.0230653
85	0.0221943
86	0.0212006
87	0.0261166
88	0.0300395
89	0.016868
90	0.0234217
91	0.0253199
92	0.026331
93	0.0275595
94	0.0200783
95	0.0226808
96	0.0251788
97	0.0212552
98	0.0168572
99	0.035688
