THREADS	TIME
1	0.00217343
2	0.00217955
3	0.00182424
4	0.00241651
5	0.00222982
6	0.00289147
7	0.00175536
8	0.0021955
9	0.00181885
10	0.00271989
11	0.00224954
12	0.00187513
13	0.0028591
14	0.0019359
15	0.00198128
16	0.00284188
17	0.00191877
18	0.00199064
19	0.00190953
20	0.00385238
21	0.0028234
22	0.00284785
23	0.00287141
24	0.00296033
25	0.00176789
26	0.00283737
27	0.00212472
28	0.00279518
29	0.00302648
30	0.00281212
31	0.00182004
32	0.00301865
33	0.00273579
34	0.00202488
35	0.00280119
36	0.00200599
37	0.00283646
38	0.00298935
39	0.0030319
40	0.00360209
41	0.00403382
42	0.00386117
43	0.00282635
44	0.0076258
45	0.00232959
46	0.00284713
47	0.00276142
48	0.00298074
49	0.00283465
50	0.00204242
51	0.00259528
52	0.00217809
53	0.00582877
54	0.00279176
55	0.0031304
56	0.00293474
57	0.0026239
58	0.00288793
59	0.00302149
60	0.00280723
61	0.00296704
62	0.00292612
63	0.00296525
64	0.00279832
65	0.00288721
66	0.00291139
67	0.00295495
68	0.00282859
69	0.00290243
70	0.00289272
71	0.00295077
72	0.00274007
73	0.00302413
74	0.00290993
75	0.00294363
76	0.00275148
77	0.00305042
78	0.00267206
79	0.00293833
80	0.00301266
81	0.00290525
82	0.00287143
83	0.00288282
84	0.00282214
85	0.00298532
86	0.00273448
87	0.00299977
88	0.00302357
89	0.00266081
90	0.0031262
91	0.00381633
92	0.00378529
93	0.00292767
94	0.00290455
95	0.0029885
96	0.00290221
97	0.00285536
98	0.00380541
99	0.00401548
