THREADS	TIME
1	0.000246582
2	0.000532362
3	0.00366564
4	0.00344433
5	0.000475073
6	0.0146064
7	0.00103854
8	0.00039825
9	0.00488371
10	0.0109767
11	0.000292784
12	0.000258404
13	0.018127
14	0.00687058
15	0.0210895
16	0.0060284
17	0.00974778
18	0.00601473
19	0.00814609
20	0.0157226
21	0.00710127
22	0.00978858
23	0.0101331
24	0.0116127
25	0.000856508
26	0.00202071
27	0.000656697
28	0.00477988
29	0.015608
30	0.000731573
31	0.000704126
32	0.00799218
33	0.00141581
34	0.000798821
35	0.0204545
36	0.0123446
37	0.000824924
38	0.000772557
39	0.000845698
40	0.0164202
41	0.00154974
42	0.00499577
43	0.00347932
44	0.0036385
45	0.000932314
46	0.0115925
47	0.00727495
48	0.00898269
49	0.00701266
50	0.00599865
51	0.00888249
52	0.00391936
53	0.00799609
54	0.00711515
55	0.00678944
56	0.00837259
57	0.00667459
58	0.00270107
59	0.00231712
60	0.00228058
61	0.00287516
62	0.00242639
63	0.00358693
64	0.00340578
65	0.00261737
66	0.00268682
67	0.0026573
68	0.00272288
69	0.00795208
70	0.00829062
71	0.00399118
72	0.00512093
73	0.00674005
74	0.0070932
75	0.00983403
76	0.00902771
77	0.00425529
78	0.00298824
79	0.00314947
80	0.0042655
81	0.0066191
82	0.00325284
83	0.00344693
84	0.00368891
85	0.00328371
86	0.00341115
87	0.00351417
88	0.00410441
89	0.0051692
90	0.0124066
91	0.00352699
92	0.00363841
93	0.00584337
94	0.00382142
95	0.00374734
96	0.00381771
97	0.00390962
98	0.00389568
99	0.00387117
