THREADS	TIME
1	0.0555533
2	0.0749517
3	0.0722353
4	0.062057
5	0.0614109
6	0.0704983
7	0.0526663
8	0.050386
9	0.053393
10	0.0500151
11	0.0509484
12	0.0527948
13	0.0503332
14	0.0670031
15	0.0747406
16	0.0797478
17	0.0764607
18	0.0801645
19	0.0773287
20	0.0768134
21	0.0798098
22	0.0771005
23	0.0777539
24	0.0774568
25	0.0771301
26	0.0756418
27	0.0755938
28	0.0784805
29	0.0784003
30	0.0806683
31	0.0783394
32	0.0770382
33	0.0784875
34	0.0766467
35	0.0818262
36	0.0795553
37	0.0799648
38	0.079218
39	0.079567
40	0.0758557
41	0.0831013
42	0.076936
43	0.0806116
44	0.0806044
45	0.0815009
46	0.0801426
47	0.0813934
48	0.0803558
49	0.0807433
50	0.0824587
51	0.079367
52	0.0791979
53	0.0834306
54	0.0818844
55	0.0840945
56	0.0830955
57	0.085844
58	0.0824527
59	0.0846372
60	0.0853728
61	0.0855599
62	0.0863371
63	0.0837433
64	0.0858712
65	0.0860013
66	0.084705
67	0.0847197
68	0.0693289
69	0.0873988
70	0.0845352
71	0.0848115
72	0.086371
73	0.0862688
74	0.0858287
75	0.0844687
76	0.0843806
77	0.0827313
78	0.084013
79	0.0827729
80	0.0835267
81	0.0832863
82	0.086187
83	0.0848298
84	0.0852448
85	0.0855672
86	0.0852292
87	0.0826155
88	0.0853793
89	0.0827077
90	0.0823776
91	0.083477
92	0.0844051
93	0.0809476
94	0.0845459
95	0.0846774
96	0.0848218
97	0.0852788
98	0.0891865
99	0.0867548
