FORKS	TIME
1	0.0140277
2	0.0101269
3	0.02353
4	0.0137478
5	0.0101623
6	0.00811208
7	0.0167574
8	0.0127167
9	0.00875662
10	0.00734936
11	0.00707387
12	0.00731451
13	0.00718272
14	0.00734013
15	0.00791805
16	0.00756103
17	0.00739733
18	0.0104772
19	0.00736061
20	0.00749041
21	0.00840111
22	0.00869167
23	0.0084852
24	0.0112096
25	0.00779107
26	0.00744836
27	0.0132164
28	0.0102926
29	0.00800475
30	0.00761762
31	0.00722047
32	0.00748461
33	0.00719857
34	0.00719116
35	0.00706117
36	0.00724579
37	0.00708899
38	0.0068832
39	0.00705919
40	0.00688953
41	0.00692337
42	0.00663856
43	0.00656459
44	0.00730509
45	0.00691089
46	0.00902273
47	0.00690883
48	0.00705786
49	0.0068295
50	0.00696968
51	0.0071327
52	0.00728157
53	0.00692941
54	0.0068865
55	0.0069667
56	0.00697755
57	0.00806954
58	0.00705507
59	0.00708232
60	0.00701953
61	0.0067089
62	0.00713565
63	0.0105323
64	0.00704376
65	0.00694254
66	0.00686001
67	0.0072112
68	0.00990361
69	0.00663485
70	0.00697735
71	0.00674716
72	0.00672398
73	0.00730338
74	0.00672344
75	0.00663509
76	0.00678141
77	0.00658686
78	0.00676266
79	0.00787509
80	0.00668922
81	0.0068571
82	0.00669496
83	0.0064046
84	0.00651914
85	0.00897549
86	0.00673819
87	0.00660721
88	0.00639057
89	0.00665911
90	0.00658644
91	0.00976958
92	0.00646923
93	0.00807862
94	0.00664235
95	0.00672902
96	0.00900311
97	0.00677778
98	0.00668139
99	0.00679584
