FORKS	TIME
1	1.17417
2	1.13521
3	1.148
4	1.17212
5	1.14486
6	1.16579
7	1.15494
8	1.14214
9	1.1503
10	1.2694
11	1.13183
12	1.16203
13	1.19134
14	1.14577
15	1.15034
16	1.14576
17	1.1493
18	1.12153
19	1.14443
20	1.1822
21	1.13778
22	1.17561
23	1.1417
24	1.15236
25	1.1516
26	1.14462
27	1.12546
28	1.16027
29	1.15897
30	1.14866
31	1.14806
32	1.15797
33	1.15304
34	1.1448
35	1.14867
36	1.14835
37	1.17745
38	1.10455
39	1.16744
40	1.15113
41	1.16442
42	1.14388
43	1.15548
44	1.14943
45	1.14048
46	1.15043
47	1.15909
48	1.09741
49	1.13355
50	1.13714
51	1.14839
52	1.10229
53	1.1413
54	1.14874
55	1.15945
56	1.12096
57	1.20314
58	1.14871
59	1.07419
60	1.19986
61	1.13965
62	1.09323
63	1.1458
64	1.15364
65	1.15764
66	1.07257
67	1.14883
68	1.18797
69	1.15679
70	1.14519
71	1.14387
72	1.13546
73	1.13542
74	1.18151
75	1.14419
76	1.14498
77	1.17467
78	1.13853
79	1.14502
80	1.15299
81	1.13977
82	1.14319
83	1.08052
84	1.14819
85	1.18042
86	1.16989
87	1.15417
88	1.08511
89	1.17015
90	1.08349
91	1.15541
92	1.15316
93	1.14439
94	1.23235
95	1.17382
96	1.15347
97	1.1351
98	1.16263
99	1.15
