FORKS	TIME
1	108.337
2	109.014
3	108.67
4	108.596
5	109.291
6	109.268
7	109.514
8	108.975
9	108.792
10	109.56
11	109.286
12	109.334
13	109.792
14	109.913
15	109.609
16	109.308
17	110.234
18	109.479
19	108.713
20	109.478
21	108.278
22	109.62
23	109.773
24	108.772
25	109.169
26	108.036
27	109.112
28	109.838
29	108.489
30	109.574
31	106.472
32	109.906
33	107.704
34	106.765
35	109.006
36	108.535
37	110.202
38	109.455
39	106.649
40	107.159
41	106.503
42	108.08
43	106.516
44	109.679
45	108.615
46	106.905
47	107.29
48	106.84
49	108.193
