FORKS	TIME
1	0.033685
2	0.0361751
3	0.0363902
4	0.0349723
5	0.0339962
6	0.0378562
7	0.0359257
8	0.0350208
9	0.0357947
10	0.0362285
11	0.0354841
12	0.0349559
13	0.0328648
14	0.0344552
15	0.0348852
16	0.0360352
17	0.0368646
18	0.0331319
19	0.0335339
20	0.0362133
21	0.0368312
22	0.0359419
23	0.0368237
24	0.0333799
25	0.0333981
26	0.0345073
27	0.0355543
28	0.0356416
29	0.0363547
30	0.0371484
31	0.0361736
32	0.0359826
33	0.0318449
34	0.0341462
35	0.0348054
36	0.0361827
37	0.0354338
38	0.0332589
39	0.0346891
40	0.0334031
41	0.0345744
42	0.0347167
43	0.0350842
44	0.0351318
45	0.0348352
46	0.034987
47	0.0363193
48	0.0351801
49	0.0367777
50	0.034026
51	0.0356034
52	0.0335793
53	0.0337653
54	0.0355047
55	0.0349055
56	0.0362162
57	0.0374507
58	0.0362336
59	0.0346306
60	0.0346196
61	0.03399
62	0.0365363
63	0.0379611
64	0.0370282
65	0.0355315
66	0.0368408
67	0.0346239
68	0.0352842
69	0.035705
70	0.0357054
71	0.0332429
72	0.0367106
73	0.0364859
74	0.0359257
75	0.0360272
76	0.0351394
77	0.0353352
78	0.0383375
79	0.03392
80	0.0346774
81	0.0354798
82	0.0335704
