FORKS	TIME
1	147.471
2	160.566
3	162.499
4	160.189
5	148.214
6	140.504
7	140.411
8	140.031
9	139.704
10	139.647
11	139.589
12	139.765
13	140.51
14	141.19
15	141.688
16	140.683
17	140.49
18	140.374
19	140.561
20	140.349
21	140.388
22	140.446
23	140.381
24	141.829
25	142.368
26	141.269
27	140.463
28	139.744
29	139.5
30	139.491
31	139.721
32	139.782
33	139.635
34	139.859
35	139.588
36	139.418
37	139.735
38	140.141
39	140.544
40	139.494
41	139.786
42	140.076
43	139.488
44	139.797
45	139.751
46	139.718
47	139.76
48	140.037
49	140.032
50	139.801
51	139.597
52	139.396
53	139.785
54	139.588
55	141.019
56	140.9
57	139.958
58	139.62
59	139.497
60	139.289
61	140.039
62	139.528
63	139.797
64	139.575
65	139.859
66	139.676
67	139.775
68	139.925
69	139.739
70	139.458
71	139.266
72	139.489
73	139.816
74	140.161
75	139.578
76	139.574
77	139.723
78	139.91
79	139.982
80	139.828
81	139.852
82	139.819
83	139.738
84	139.701
85	139.889
86	139.651
87	139.588
88	139.748
89	139.787
90	139.467
91	139.531
92	139.538
93	139.611
94	139.89
95	140.181
96	139.444
97	139.803
98	139.871
99	139.718
