FORKS	TIME
1	0.0611424
2	0.0620981
3	0.0605582
4	0.060868
5	0.0604228
6	0.0620058
7	0.0623583
8	0.060948
9	0.0621674
10	0.0605694
11	0.0615049
12	0.0613833
13	0.0636586
14	0.0606689
15	0.0616833
16	0.061005
17	0.0595488
18	0.0643054
19	0.0695383
20	0.0615887
21	0.0602723
22	0.0626432
23	0.0602893
24	0.0605246
25	0.0621786
26	0.0617481
27	0.060381
28	0.0613498
29	0.0598017
30	0.058643
31	0.0593421
32	0.0620741
33	0.059894
34	0.0605443
35	0.0599679
36	0.0596258
37	0.0609098
38	0.0612058
39	0.0623196
40	0.0613196
41	0.0623262
42	0.061665
43	0.0608151
44	0.0600967
45	0.0602816
46	0.0604007
47	0.0593144
48	0.0590886
49	0.0617878
50	0.0625068
51	0.0631348
52	0.0625871
53	0.0610343
54	0.0627378
55	0.0613481
56	0.0604174
57	0.0614081
58	0.06127
59	0.0617403
60	0.0610791
61	0.0614997
62	0.0630349
63	0.0592028
64	0.0616503
65	0.0612249
66	0.0612999
67	0.0611419
68	0.0624891
69	0.0632654
70	0.0619462
71	0.0613237
72	0.0618007
73	0.0624378
74	0.0621896
75	0.0619444
76	0.0611076
77	0.0606998
78	0.0611501
79	0.0620917
80	0.0614174
81	0.0629729
82	0.0622509
83	0.0614575
84	0.0638693
85	0.0627456
86	0.0640349
87	0.0615579
88	0.0621367
89	0.063586
90	0.0611656
91	0.062076
92	0.0610999
93	0.0607425
94	0.0612627
95	0.0614547
96	0.0629451
97	0.0618954
98	0.0620428
99	0.0612265
