THREADS	TIME
1	0.000430895
2	0.000332571
3	0.000318906
4	0.00018212
5	0.000271457
6	0.000267941
7	0.000208327
8	0.000209889
9	0.000233206
10	0.000221174
11	0.000232931
12	0.000307986
13	0.000470806
14	0.000311893
15	0.000308837
16	0.000335506
17	0.00035316
18	0.000374672
19	0.000373846
20	0.00041127
21	0.000408731
22	0.000437375
23	0.000468362
24	0.00139279
25	0.0035215
26	0.00176597
27	0.0250794
28	0.00920787
29	0.00976085
30	0.00494164
31	0.00298535
32	0.000887312
33	0.00296235
34	0.00100313
35	0.00303896
36	0.000925754
37	0.000759308
38	0.000770505
39	0.00209453
40	0.00718963
41	0.00425156
42	0.00284439
43	0.00502614
44	0.00394783
45	0.00219928
46	0.00269258
47	0.00168471
48	0.00570405
49	0.0222723
50	0.00755354
51	0.00367039
52	0.0079956
53	0.00601664
54	0.00898459
55	0.00596949
56	0.00603192
57	0.006863
58	0.00800273
59	0.0108383
60	0.00542677
61	0.0165844
62	0.00320391
63	0.018807
64	0.00199983
65	0.00139654
66	0.00783731
67	0.00882042
68	0.00255276
69	0.00219364
70	0.00996338
71	0.00379095
72	0.00209887
73	0.00497039
74	0.00195105
75	0.00195342
76	0.00216729
77	0.00368265
78	0.0020828
79	0.00173104
80	0.00206206
81	0.00181064
82	0.00177345
83	0.00171401
84	0.0017535
85	0.00296195
86	0.00413193
87	0.00361666
88	0.00208908
89	0.0049994
90	0.00196112
91	0.00198498
92	0.00304229
93	0.00260175
94	0.00204339
95	0.00194424
96	0.00393315
97	0.00212621
98	0.00209616
99	0.00284482
100	0.00218284
