THREADS	TIME
1	0.0274109
2	0.0196609
3	0.013768
4	0.0103662
5	0.0148973
6	0.0109984
7	0.00900973
8	0.00922536
9	0.00772766
10	0.00657481
11	0.00741972
12	0.00702729
13	0.0116363
14	0.0104401
15	0.0106976
16	0.0109355
17	0.0152409
18	0.0131857
19	0.009668
20	0.0120988
21	0.0167721
22	0.0121327
23	0.0149797
24	0.0157479
25	0.0139805
26	0.012062
27	0.011569
28	0.0227345
29	0.0117372
30	0.0144353
31	0.0157664
32	0.020996
33	0.015791
34	0.0169506
35	0.0152828
36	0.0172241
37	0.0166431
38	0.0153092
39	0.0205782
40	0.015667
41	0.0123032
42	0.0172163
43	0.0119115
44	0.00914633
45	0.00939119
46	0.00798787
47	0.0101713
48	0.00838257
49	0.00851984
50	0.00835214
51	0.00831143
52	0.00816971
53	0.00930823
54	0.0113239
55	0.0103686
56	0.00790064
57	0.0101307
58	0.00938594
59	0.00909289
60	0.00990856
61	0.00921143
62	0.0110189
63	0.0104937
64	0.00916
65	0.00923933
66	0.0119896
67	0.0104772
68	0.0133294
69	0.00942796
70	0.00878925
71	0.00916279
72	0.00870482
73	0.00936206
74	0.0084775
75	0.00978724
76	0.00913023
77	0.00957539
78	0.0101742
79	0.0101084
80	0.00961443
81	0.00943796
82	0.0101197
83	0.00878017
84	0.00949415
85	0.00891942
86	0.00880939
87	0.0105411
88	0.0173307
89	0.0101995
90	0.00963708
91	0.00959531
92	0.0108032
93	0.0093001
94	0.0108929
95	0.0104101
96	0.00940533
97	0.00843233
98	0.0109281
99	0.0111239
100	0.0094315
